num of runs,input 1,input 2,Objective
3,0.26,-2.76,"[-2.6923999999999997, 22.397599999999997]"
3,-0.27,-2.5,"[-2.4271, 20.52]"
3,0.02,-3.08,"[-3.0796, 25.7864]"
3,0.06,-2.93,"[-2.9264, 24.244899999999998]"
3,0.21,-1.59,"[-1.5459, 12.678099999999999]"
3,4.74,2.26,"[24.727600000000002, -4.6724000000000006]"
3,0.38,0.12,"[0.26439999999999997, 3.1544]"
3,-0.26,-1.18,"[-1.1123999999999998, 10.372399999999997]"
3,0.03,-4.47,"[-4.4691, 41.83089999999999]"
3,0.06,-3.72,"[-3.7164, 32.65840000000001]"
3,0.03,-4.47,"[-4.4691, 41.83089999999999]"
3,0.33,0.73,"[0.8389, 1.2829]"
3,1.08,1.8,"[2.9664, -1.04]"
3,0.28,-2.36,"[-2.2816, 18.729599999999994]"
3,0.45,-2.11,"[-1.9074999999999998, 16.442099999999996]"
3,2.04,1.82,"[5.9816, -2.0076]"
3,0.63,1.86,"[2.2569, -0.6104]"
3,1.42,1.74,"[3.7564, -1.3523999999999998]"
3,0.03,-0.64,"[-0.6391, 6.9396]"
3,0.01,-2.22,"[-2.2199, 17.798400000000004]"
3,4.24,1.67,"[19.647600000000004, -4.1311]"
3,1.74,1.94,"[4.9676, -1.7364]"
3,0.02,-0.8,"[-0.7996000000000001, 7.819999999999999]"
3,-0.12,-0.17,"[-0.15560000000000002, 4.8289]"
3,1.5,2.28,"[4.529999999999999, -1.4216000000000002]"
3,2.21,1.7,"[6.5841, -2.12]"
3,-0.25,-1.86,"[-1.7975, 15.149600000000003]"
3,0.2,-1.02,"[-0.98, 8.9204]"
3,-0.23,-1.94,"[-1.8871, 15.7536]"
3,-0.01,0.02,"[0.0201, 3.9303999999999997]"
3,0.67,1.3,"[1.7489000000000001, -0.1800000000000001]"
3,0.22,-1.04,"[-0.9916, 9.0216]"
3,0.79,0.71,"[1.3341, 0.8741000000000001]"
